Timestamp,Count
41547,0
41555,0
41563,-1
41570,-2
41578,-3
41586,-5
41594,-8
41602,-8
41610,-13
41617,-15
41625,-14
41633,-22
41641,-14
41649,-25
41656,-43
41664,9
41672,14
41680,-99
41688,-141
41695,86
41703,468
41711,648
41719,477
41727,169
41735,3
41742,-33
41750,-83
41758,-119
41766,-109
41774,-106
41781,-103
41789,-109
41797,-107
41805,-94
41813,-81
41820,-78
41828,-85
41836,-87
41844,-88
41852,-92
41860,-100
41867,-108
41875,-113
41883,-115
41891,-115
41899,-114
41906,-115
41914,-120
41922,-122
41930,-117
41938,-112
41945,-112
41953,-110
41961,-105
41969,-101
41977,-104
41985,-109
41992,-113
42000,-105
42008,-93
42016,-85
42024,-80
42031,-92
42039,-106
42047,-103
42055,-78
42063,-42
42070,-18
42078,-23
42086,-45
42094,-75
42102,-104
42110,-123
42117,-126
42125,-113
42133,-103
42141,-99
42149,-78
42156,-40
42164,-61
42172,-274
42180,-380
42188,371
42195,1833
42203,2556
42211,1473
42219,-595
42227,-1856
42235,-1650
42242,-880
42250,-509
42258,-489
42266,-402
42274,-272
42281,-198
42289,-140
42297,-106
42305,-87
42313,-59
42320,-41
42328,-26
42336,-18
42344,-10
42352,4
42360,18
42367,29
42375,42
42383,61
42391,83
42399,95
42406,93
42414,84
42422,69
42430,43
42438,2
42445,-74
42453,-173
42461,-272
42469,-340
42477,-358
42485,-345
42492,-309
42500,-275
42508,-237
42516,-203
42524,-167
42531,-134
42539,-107
42547,-85
42555,-72
42563,-61
42570,-52
42578,-48
42586,-45
42594,-48
42602,-53
42610,-60
42617,-67
42625,-70
42633,-70
42641,-66
42649,-72
42656,-81
42664,-85
42672,-78
42680,-74
42688,-78
42695,-83
42703,-79
42711,-73
42719,-68
42727,-68
42735,-66
42742,-59
42750,-53
42758,-61
42766,-73
42774,-73
42781,-46
42789,-8
42797,18
42805,15
42813,-19
42820,-54
42828,-77
42836,-87
42844,-97
42852,-92
42860,-86
42867,-79
42875,-49
42883,-9
42891,-47
42899,-282
42906,-394
42914,409
42922,1955
42930,2700
42938,1547
42945,-616
42953,-1904
42961,-1670
42969,-872
42977,-513
42985,-501
42992,-403
43000,-262
43008,-186
43016,-125
43024,-90
43031,-67
43039,-44
43047,-26
43055,-12
43063,-6
43070,0
43078,13
43086,30
43094,47
43102,59
43110,78
43117,98
43125,113
43133,118
43141,112
43149,93
43156,57
43164,10
43172,-61
43180,-153
43188,-247
43195,-312
43203,-331
43211,-320
43219,-294
43227,-258
43235,-213
43242,-172
43250,-144
43258,-117
43266,-93
43274,-74
43281,-63
43289,-53
43297,-45
43305,-39
43313,-39
43320,-37
43328,-38
43336,-40
43344,-47
43352,-52
43360,-54
43367,-59
43375,-66
43383,-71
43391,-71
43399,-72
43406,-72
43414,-67
43422,-60
43430,-60
43438,-67
43445,-67
43453,-60
43461,-52
43469,-56
43477,-56
43485,-61
43492,-66
43500,-72
43508,-65
43516,-45
43524,-14
43531,15
43539,26
43547,5
43555,-39
43563,-78
43570,-91
43578,-87
43586,-72
43594,-72
43602,-80
43610,-58
43617,-18
43625,-53
43633,-288
43641,-399
43649,421
43656,2012
43664,2783
43672,1607
43680,-618
43688,-1954
43695,-1720
43703,-901
43711,-526
43719,-511
43727,-411
43735,-270
43742,-197
43750,-137
43758,-96
43766,-63
43774,-41
43781,-29
43789,-19
43797,-5
43805,5
43813,18
43820,31
43828,46
43836,57
43844,73
43852,91
43860,113
43867,129
43875,121
43883,97
43891,68
43899,22
43906,-46
43914,-143
43922,-245
43930,-314
43938,-338
43945,-331
43953,-303
43961,-264
43969,-221
43977,-179
43985,-142
43992,-116
44000,-97
44008,-79
44016,-66
44024,-53
44031,-51
44039,-53
44047,-48
44055,-40
44063,-37
44070,-38
44078,-43
44086,-45
44094,-51
44102,-56
44110,-61
44117,-63
44125,-69
44133,-71
44141,-70
44149,-65
44156,-64
44164,-68
44172,-69
44180,-68
44188,-65
44195,-63
44203,-57
44211,-51
44219,-53
44227,-58
44235,-64
44242,-74
44250,-73
44258,-57
44266,-23
44274,9
44281,20
44289,7
44297,-24
44305,-61
44313,-82
44320,-89
44328,-83
44336,-77
44344,-83
44352,-75
44360,-34
44367,-9
44375,-123
44383,-402
44391,-235
44399,1013
44406,2527
44414,2592
44422,788
44430,-1321
44438,-2036
44445,-1415
44453,-694
44461,-523
44469,-506
44477,-360
44485,-239
44492,-173
44500,-117
44508,-81
44516,-51
44524,-34
44531,-25
44539,-14
44547,-1
44555,12
44563,21
44570,32
44578,45
44586,66
44594,83
44602,100
44610,113
44617,117
44625,112
44633,94
44641,57
44649,4
44656,-72
44664,-163
44672,-253
44680,-317
44688,-335
44695,-324
44703,-288
44711,-250
44719,-210
44727,-168
44735,-132
44742,-103
44750,-89
44758,-78
44766,-67
44774,-55
44781,-46
44789,-45
44797,-43
44805,-39
44813,-39
44820,-41
44828,-46
44836,-50
44844,-52
44852,-54
44860,-60
44867,-61
44875,-64
44883,-63
44891,-67
44899,-69
44906,-63
44914,-58
44922,-58
44930,-59
44938,-57
44945,-56
44953,-54
44961,-51
44969,-49
44977,-52
44985,-53
44992,-58
45000,-68
45008,-71
45016,-57
45024,-28
45031,4
45039,26
45047,23
45055,-5
45063,-50
45070,-79
45078,-89
45086,-82
45094,-69
45102,-72
45110,-74
45117,-41
45125,-11
45133,-90
45141,-361
45149,-320
45156,766
45164,2334
45172,2694
45180,1122
45188,-1050
45195,-2006
45203,-1519
45211,-757
45219,-520
45227,-514
45235,-378
45242,-242
45250,-175
45258,-120
45266,-85
45274,-61
45281,-41
45289,-28
45297,-16
45305,-3
45313,9
45320,19
45328,37
45336,54
45344,69
45352,81
45360,95
45367,108
45375,115
45383,114
45391,97
45399,67
45406,21
45414,-54
45422,-151
45430,-248
45438,-309
45445,-328
45453,-317
45461,-288
45469,-250
45477,-212
45485,-171
45492,-140
45500,-112
45508,-90
45516,-73
45524,-64
45531,-60
45539,-53
45547,-48
45555,-43
45563,-42
45570,-43
45578,-39
45586,-36
45594,-43
45602,-55
45610,-64
45617,-62
45625,-66
45633,-71
45641,-71
45649,-66
45656,-59
45664,-55
45672,-57
45680,-59
45688,-61
45695,-60
45703,-59
45711,-59
45719,-61
45727,-64
45735,-57
45742,-54
45750,-57
45758,-66
45766,-65
45774,-51
45781,-25
45789,0
45797,15
45805,11
45813,-16
45820,-53
45828,-75
45836,-88
45844,-82
45852,-72
45860,-76
45867,-77
45875,-41
45883,-5
45891,-82
45899,-353
45906,-309
45914,769
45922,2301
45930,2618
45938,1052
45945,-1068
45953,-1978
45961,-1483
45969,-726
45977,-486
45985,-477
45992,-354
46000,-238
46008,-173
46016,-119
46024,-84
46031,-56
46039,-30
46047,-17
46055,-9
46063,0
46070,9
46078,22
46086,37
46094,53
46102,74
46110,95
46117,114
46125,135
46133,140
46141,130
46149,99
46156,56
46164,-2
46172,-80
46180,-177
46188,-264
46195,-333
46203,-363
46211,-351
46219,-309
46227,-261
46235,-224
46242,-195
46250,-160
46258,-129
46266,-104
46274,-83
46281,-65
46289,-48
46297,-39
46305,-36
46313,-31
46320,-30
46328,-39
46336,-47
46344,-52
46352,-53
46360,-52
46367,-51
46375,-56
46383,-67
46391,-75
46399,-83
46406,-83
46414,-78
46422,-70
46430,-60
46438,-54
46445,-64
46453,-74
46461,-82
46469,-72
46477,-47
46485,-20
46492,-7
46500,-4
46508,-11
46516,-25
46524,-50
46531,-73
46539,-80
46547,-77
46555,-68
46563,-78
46570,-80
46578,-47
46586,0
46594,-71
46602,-340
46610,-271
46617,834
46625,2356
46633,2623
46641,1000
46649,-1134
46656,-2016
46664,-1495
46672,-741
46680,-498
46688,-477
46695,-351
46703,-237
46711,-170
46719,-109
46727,-70
46735,-43
46742,-23
46750,-8
46758,1
46766,3
46774,10
46781,24
46789,46
46797,67
46805,87
46813,119
46820,143
46828,148
46836,136
46844,117
46852,93
46860,53
46867,-16
46875,-119
46883,-235
46891,-341
46899,-394
46906,-391
46914,-348
46922,-293
46930,-250
46938,-222
46945,-192
46953,-152
46961,-112
46969,-92
46977,-86
46985,-71
46992,-47
47000,-29
47008,-29
47016,-26
47024,-17
47031,-24
47039,-41
47047,-47
47055,-42
47063,-48
47070,-64
47078,-68
47086,-57
47094,-53
47102,-64
47110,-80
47117,-81
47125,-76
47133,-75
47141,-72
47149,-72
47156,-78
47164,-70
47172,-37
47180,5
47188,21
47195,0
47203,-36
47211,-62
47219,-71
47227,-77
47235,-81
47242,-69
47250,-71
47258,-75
47266,-37
47274,3
47281,-93
47289,-398
47297,-275
47305,1011
47313,2659
47320,2833
47328,970
47336,-1323
47344,-2185
47352,-1580
47360,-792
47367,-570
47375,-537
47383,-387
47391,-261
47399,-188
47406,-126
47414,-93
47422,-63
47430,-42
47438,-25
47445,-12
47453,1
47461,12
47469,23
47477,37
47485,58
47492,84
47500,108
47508,122
47516,132
47524,136
47531,126
47539,98
47547,51
47555,-22
47563,-126
47570,-243
47578,-333
47586,-368
47594,-356
47602,-324
47610,-283
47617,-237
47625,-192
47633,-159
47641,-140
47649,-117
47656,-93
47664,-72
47672,-65
47680,-57
47688,-47
47695,-31
47703,-20
47711,-19
47719,-23
47727,-29
47735,-33
47742,-38
47750,-46
47758,-55
47766,-62
47774,-70
47781,-71
47789,-73
47797,-77
47805,-79
47813,-77
47820,-69
47828,-61
47836,-59
47844,-59
47852,-70
47860,-82
47867,-79
47875,-52
47883,-9
47891,17
47899,7
47906,-21
47914,-50
47922,-64
47930,-70
47938,-79
47945,-75
47953,-74
47961,-78
47969,-52
47977,-7
47985,-37
47992,-289
48000,-447
48008,377
48016,2082
48024,3001
48031,1834
48039,-545
48047,-2051
48055,-1863
48063,-990
48070,-573
48078,-558
48086,-446
48094,-286
48102,-208
48110,-148
48117,-104
48125,-75
48133,-51
48141,-40
48149,-30
48156,-17
48164,-2
48172,10
48180,23
48188,39
48195,57
48203,77
48211,100
48219,124
48227,137
48235,136
48242,116
48250,85
48258,36
48266,-44
48274,-150
48281,-253
48289,-321
48297,-339
48305,-321
48313,-293
48320,-254
48328,-208
48336,-167
48344,-135
48352,-109
48360,-89
48367,-76
48375,-66
48383,-60
48391,-55
48399,-47
48406,-41
48414,-40
48422,-42
48430,-44
48438,-47
48445,-49
48453,-48
48461,-51
48469,-52
48477,-55
48485,-60
48492,-66
48500,-69
48508,-69
48516,-63
48524,-60
48531,-60
48539,-54
48547,-52
48555,-52
48563,-56
48570,-60
48578,-55
48586,-47
48594,-44
48602,-45
48610,-57
48617,-67
48625,-70
48633,-53
48641,-27
48649,1
48656,19
48664,15
48672,-14
48680,-49
48688,-71
48695,-83
48703,-83
48711,-73
48719,-75
48727,-73
48735,-40
48742,-13
48750,-88
48758,-358
48766,-336
48774,749
48781,2403
48789,2869
48797,1299
48805,-1007
48813,-2108
48820,-1664
48828,-848
48836,-564
48844,-553
48852,-411
48860,-264
48867,-190
48875,-131
48883,-93
48891,-66
48899,-46
48906,-34
48914,-22
48922,-12
48930,-1
48938,12
48945,30
48953,45
48961,57
48969,76
48977,95
48985,116
48992,127
49000,129
49008,115
49016,85
49024,36
49031,-36
49039,-132
49047,-232
49055,-306
49063,-342
49070,-336
49078,-307
49086,-261
49094,-217
49102,-173
49110,-141
49117,-113
49125,-89
49133,-75
49141,-68
49149,-65
49156,-63
49164,-57
49172,-50
49180,-46
49188,-51
49195,-54
49203,-56
49211,-57
49219,-59
49227,-60
49235,-61
49242,-61
49250,-62
49258,-64
49266,-67
49274,-69
49281,-69
49289,-67
49297,-67
49305,-69
49313,-68
49320,-61
49328,-56
49336,-58
49344,-60
49352,-58
49360,-49
49367,-50
49375,-61
49383,-77
49391,-75
49399,-48
49406,-14
49414,16
49422,28
49430,12
49438,-25
49445,-61
49453,-84
49461,-90
49469,-84
49477,-71
49485,-75
49492,-68
49500,-33
49508,-21
49516,-159
49524,-429
49531,-143
49539,1241
49547,2704
49555,2528
49563,548
49570,-1506
49578,-2046
49586,-1347
49594,-675
49602,-553
49610,-522
49617,-358
49625,-241
49633,-172
49641,-115
49649,-86
49656,-60
49664,-42
49672,-27
49680,-16
49688,-7
49695,3
49703,15
49711,31
49719,46
49727,66
49735,80
49742,99
49750,113
49758,123
49766,120
49774,103
49781,66
49789,7
49797,-80
49805,-183
49813,-276
49820,-337
49828,-347
49836,-323
49844,-285
49852,-247
49860,-208
49867,-167
49875,-132
49883,-102
49891,-81
49899,-71
49906,-65
49914,-62
49922,-59
49930,-50
49938,-42
49945,-44
49953,-49
49961,-56
49969,-56
49977,-51
49985,-48
49992,-52
50000,-60
50008,-63
50016,-65
50024,-65
50031,-68
50039,-69
50047,-63
50055,-61
50063,-60
50070,-58
50078,-57
50086,-59
50094,-61
50102,-63
50110,-61
50117,-59
50125,-58
50133,-61
50141,-64
50149,-67
50156,-62
50164,-56
50172,-50
50180,-47
50188,-54
50195,-59
50203,-51
50211,-25
50219,6
50227,30
50235,32
50242,8
50250,-25
50258,-60
50266,-85
50274,-92
50281,-81
50289,-66
50297,-70
50305,-57
50313,-24
50320,-36
50328,-232
50336,-434
50344,150
50352,1678
50360,2776
50367,2015
50375,-143
50383,-1795
50391,-1860
50399,-1064
50406,-571
50414,-532
50422,-456
50430,-297
50438,-207
50445,-145
50453,-102
50461,-74
50469,-50
50477,-33
50485,-22
50492,-12
50500,0
50508,14
50516,29
50524,44
50531,53
50539,68
50547,86
50555,106
50563,117
50570,118
50578,103
50586,85
50594,50
50602,4
50610,-75
50617,-177
50625,-274
50633,-328
50641,-337
50649,-312
50656,-276
50664,-236
50672,-204
50680,-169
50688,-140
50695,-106
50703,-82
50711,-69
50719,-62
50727,-53
50735,-44
50742,-38
50750,-40
50758,-44
50766,-51
50774,-56
50781,-60
50789,-63
50797,-62
50805,-63
50813,-67
50820,-69
50828,-66
50836,-66
50844,-64
50852,-61
50860,-62
50867,-67
50875,-71
50883,-63
50891,-60
50899,-56
50906,-59
50914,-60
50922,-59
50930,-58
50938,-55
50945,-46
50953,-42
50961,-43
50969,-51
50977,-58
50985,-56
50992,-50
51000,-46
51008,-47
51016,-44
51024,-40
51031,-40
51039,-44
