Timestamp,HR: (Beats per minute), RR: (ms)
109936,73.17,820
110623,85.35,703
111303,88.37,679
111976,90.36,664
112570,90.40,664
113234,90.40,664
113901,90.10,671
114572,89.60,679
115249,88.60,695
115935,89.10,664
116625,90.50,640
117316,90.20,671
118004,90.00,671
118687,88.90,695
119362,88.40,687
120030,88.40,679
120695,89.70,648
121361,89.90,664
121956,90.70,648
122632,91.60,640
123239,93.30,617
123851,94.00,593
124465,95.70,601
125079,95.50,632
125766,94.30,656
126447,92.80,671
127045,92.40,656
127713,91.80,664
128378,91.10,671
129044,90.30,679
129715,89.70,679
130393,89.90,664
131078,90.40,656
131768,90.10,671
132459,89.00,695
133224,87.10,726
133905,86.00,718
134579,86.10,695
135247,86.50,687
135986,85.60,718
136727,85.00,718
137399,84.30,726
138154,84.10,718
138764,85.70,671
139455,87.10,664
140146,88.80,648
140757,89.90,648
141439,90.70,648
142113,90.90,656
142782,90.10,679
143447,89.60,679
144112,88.90,687
144783,88.70,679
145460,89.50,656
146068,90.40,648
146757,91.80,632
147372,93.10,625
147985,95.10,601
148594,96.90,593
149198,98.20,593
149797,99.10,593
150390,99.30,601
150981,98.30,625
151647,97.60,664
152317,96.30,687
153069,94.30,742
153830,92.20,734
154520,89.00,734
155211,88.80,679
155900,88.70,679
156582,88.90,671
157256,88.70,679
157924,88.90,671
158589,90.40,640
159181,90.70,656
159851,90.90,656
160527,89.80,687
161287,88.90,750
162053,87.40,773
