Timestamp,HR: (Beats per minute), RR: (ms)
42152,153.85,390
44653,23.86,2515
45542,65.65,914
46355,70.51,851
47173,76.00,789
47849,76.80,710
48533,78.20,679
49223,79.20,632
49837,79.90,617
50450,80.40,632
51135,81.50,671
51813,83.60,679
52484,84.80,648
53149,85.30,695
53888,84.80,718
54631,83.60,742
55382,82.00,765
56142,80.90,765
56909,81.10,734
57600,82.70,695
58288,83.50,656
58970,85.90,656
59645,86.70,679
60313,86.30,703
61051,85.70,765
61791,83.30,773
62537,83.40,718
63293,82.60,742
64056,82.10,742
64824,81.30,757
65591,80.90,750
66276,82.50,695
66953,83.20,664
67549,83.70,617
68141,85.40,601
68732,87.40,609
69398,89.30,640
70069,89.60,703
70748,88.10,710
71434,88.20,679
72202,87.10,710
72969,85.50,734
73732,84.70,781
74485,82.30,781
75156,82.60,679
75821,84.00,687
76486,85.90,664
77153,86.00,695
77827,86.70,679
