Timestamp,Count
665440,0
665448,0
665456,-1
665463,-3
665471,-3
665479,-5
665487,-10
665495,-8
665503,-9
665510,-16
665518,-7
665526,-22
665534,-15
665542,9
665549,-88
665557,-92
665565,131
665573,115
665581,-482
665588,-1308
665596,-1638
665604,-1267
665612,-712
665620,-486
665628,-492
665635,-377
665643,-252
665651,-214
665659,-145
665667,-78
665674,-31
665682,-5
665690,-11
665698,-21
665706,-15
665713,-5
665721,-1
665729,1
665737,23
665745,60
665753,100
665760,111
665768,96
665776,59
665784,33
665792,24
665799,16
665807,18
665815,13
665823,18
665831,53
665838,100
665846,23
665854,-266
665862,-152
665870,1066
665878,2612
665885,2704
665893,844
665901,-1338
665909,-2044
665917,-1338
665924,-562
665932,-402
665940,-427
665948,-299
665956,-173
665963,-90
665971,-38
665979,-13
665987,11
665995,37
666003,53
666010,67
666018,76
666026,78
666034,82
666042,103
666049,125
666057,139
666065,141
666073,154
666081,168
666088,162
666096,132
666104,90
666112,25
666120,-88
666128,-224
666135,-338
666143,-384
666151,-341
666159,-275
666167,-225
666174,-201
666182,-172
666190,-140
666198,-104
666206,-62
666213,-29
666221,-20
666229,-37
666237,-53
666245,-41
666253,-21
666260,-14
666268,-10
666276,2
666284,3
666292,-17
666299,-44
666307,-56
666315,-49
666323,-31
666331,-25
666338,-34
666346,-45
666354,-51
666362,-70
666370,-74
666378,-43
666385,0
666393,24
666401,15
666409,-7
666417,-27
666424,-47
666432,-71
666440,-81
666448,-66
666456,-56
666463,-49
666471,2
666479,46
666487,-73
666495,-395
666503,-166
666510,1249
666518,2799
666526,2643
666534,542
666542,-1641
666549,-2175
666557,-1361
666565,-606
666573,-478
666581,-488
666588,-354
666596,-238
666604,-154
666612,-83
666620,-54
666628,-32
666635,-17
666643,-13
666651,17
666659,62
666667,75
666674,45
666682,21
666690,40
666698,89
666706,142
666713,178
666721,201
666729,187
666737,106
666745,19
666753,-41
666760,-119
666768,-249
666776,-384
666784,-438
666792,-389
666799,-300
666807,-248
666815,-213
666823,-153
666831,-101
666838,-84
666846,-93
666854,-110
666862,-101
666870,-84
666878,-64
666885,-26
666893,3
666901,-3
666909,-20
666917,-21
666924,-6
666932,6
666940,-10
666948,-52
666956,-83
666963,-95
666971,-90
666979,-92
666987,-84
666995,-57
667003,-9
667010,25
667018,17
667026,-15
667034,-55
667042,-75
667049,-73
667057,-79
667065,-93
667073,-113
667081,-105
667088,-35
667096,48
667104,-40
667112,-385
667120,-307
667128,996
667135,2712
667143,2876
667151,896
667159,-1496
667167,-2301
667174,-1551
667182,-694
667190,-481
667198,-483
667206,-349
667213,-240
667221,-171
667229,-101
667237,-72
667245,-65
667253,-45
667260,-19
667268,6
667276,19
667284,39
667292,49
667299,38
667307,61
667315,144
667323,208
667331,176
667338,110
667346,84
667354,72
667362,25
667370,-47
667378,-128
667385,-206
667393,-288
667401,-350
667409,-373
667417,-368
667424,-323
667432,-225
667440,-143
667448,-131
667456,-144
667463,-107
667471,-35
667479,-13
667487,-58
667495,-94
667503,-62
667510,-5
667518,-1
667526,-46
667534,-66
667542,-29
667549,14
667557,-6
667565,-72
667573,-109
667581,-75
667588,-42
667596,-57
667604,-103
667612,-113
667620,-51
667628,38
667635,70
667643,29
667651,-53
667659,-112
667667,-118
667674,-84
667682,-53
667690,-40
667698,-38
667706,-27
667713,4
667721,-39
667729,-335
667737,-467
667745,521
667753,2340
667760,3098
667768,1609
667776,-918
667784,-2243
667792,-1783
667799,-849
667807,-539
667815,-575
667823,-443
667831,-269
667838,-178
667846,-98
667854,-57
667862,-60
667870,-78
667878,-62
667885,-14
667893,2
667901,-22
667909,-16
667917,49
667924,105
667932,110
667940,104
667948,130
667956,151
667963,134
667971,92
667979,50
667987,7
667995,-78
668003,-198
668010,-308
668018,-357
668026,-347
668034,-306
668042,-255
668049,-207
668057,-174
668065,-149
668073,-131
668081,-99
668088,-84
668096,-79
668104,-75
668112,-41
668120,-4
668128,2
668135,-32
668143,-70
668151,-73
668159,-63
668167,-62
668174,-67
668182,-63
668190,-43
668198,-33
668206,-51
668213,-77
668221,-92
668229,-98
668237,-98
668245,-84
668253,-52
668260,-7
668268,19
668276,4
668284,-37
668292,-70
668299,-70
668307,-62
668315,-63
668323,-85
668331,-96
668338,-61
668346,4
668354,-16
668362,-298
668370,-513
668378,351
668385,2201
668393,3199
668401,1922
668409,-648
668417,-2225
668424,-1952
668432,-990
668440,-559
668448,-557
668456,-443
668463,-290
668471,-214
668479,-135
668487,-67
668495,-30
668503,-29
668510,-37
668518,-31
668526,-11
668534,12
668542,27
668549,27
668557,38
668565,69
668573,113
668581,145
668588,157
668596,152
668604,137
668612,100
668620,36
668628,-68
668635,-196
668643,-311
668651,-384
668659,-394
668667,-357
668674,-293
668682,-238
668690,-203
668698,-176
668706,-149
668713,-115
668721,-92
668729,-81
668737,-68
668745,-56
668753,-48
668760,-46
668768,-47
668776,-39
668784,-39
668792,-42
668799,-40
668807,-40
668815,-40
668823,-40
668831,-43
668838,-49
668846,-61
668854,-68
668862,-62
668870,-63
668878,-64
668885,-65
668893,-55
668901,-51
668909,-59
668917,-79
668924,-86
668932,-68
668940,-29
668948,10
668956,34
668963,17
668971,-27
668979,-72
668987,-95
668995,-92
669003,-66
669010,-47
669018,-57
669026,-59
669034,-22
669042,-10
669049,-208
669057,-513
669065,-2
669073,1702
669081,3116
669088,2455
669096,29
669104,-1970
669112,-2137
669120,-1209
669128,-601
669135,-565
669143,-502
669151,-328
669159,-230
669167,-157
669174,-95
669182,-63
669190,-43
669198,-33
669206,-18
669213,-1
669221,14
669229,25
669237,34
669245,50
669253,74
669260,98
669268,125
669276,140
669284,154
669292,153
669299,135
669307,93
669315,12
669323,-112
669331,-254
669338,-360
669346,-390
669354,-359
669362,-311
669370,-280
669378,-248
669385,-205
669393,-153
669401,-111
669409,-81
669417,-69
669424,-70
669432,-67
669440,-63
669448,-59
669456,-53
669463,-49
669471,-49
669479,-48
669487,-53
669495,-57
669503,-56
669510,-50
669518,-48
669526,-52
669534,-55
669542,-59
669549,-56
669557,-53
669565,-62
669573,-69
669581,-67
669588,-58
669596,-47
669604,-46
669612,-53
669620,-56
669628,-51
669635,-51
669643,-58
669651,-60
669659,-62
669667,-69
669674,-74
669682,-58
669690,-22
669698,13
669706,28
669713,22
669721,0
669729,-34
669737,-72
669745,-99
669753,-101
669760,-75
669768,-60
669776,-51
669784,-26
669792,-13
669799,-127
669807,-440
669815,-312
669823,1023
669831,2719
669838,2862
669846,906
669854,-1433
669862,-2238
669870,-1530
669878,-714
669885,-538
669893,-545
669901,-380
669909,-222
669917,-127
669924,-74
669932,-93
669940,-128
669948,-130
669956,-79
669963,13
669971,78
669979,71
669987,40
669995,35
670003,54
670010,75
670018,95
670026,104
670034,113
670042,113
670049,116
670057,114
670065,76
670073,-32
670081,-166
670088,-290
670096,-374
670104,-387
670112,-345
670120,-310
670128,-293
670135,-259
670143,-176
670151,-90
670159,-59
670167,-77
670174,-97
670182,-86
670190,-65
670198,-56
670206,-51
670213,-52
670221,-39
670229,-11
670237,-4
670245,-24
670253,-47
670260,-46
670268,-31
670276,-45
670284,-75
670292,-80
670299,-50
670307,-28
670315,-33
670323,-45
670331,-41
670338,-35
670346,-35
670354,-39
670362,-60
670370,-85
670378,-95
670385,-58
670393,-6
670401,6
670409,-31
670417,-72
670424,-77
670432,-53
670440,-6
670448,27
670456,9
670463,-28
670471,-36
670479,-23
670487,-24
670495,-55
670503,-80
670510,-81
670518,-76
670526,-57
670534,-27
670542,-41
670549,-264
670557,-445
670565,294
670573,1965
670581,2948
670588,1876
670596,-492
670604,-2049
670612,-1874
670620,-967
670628,-541
670635,-547
670643,-435
670651,-256
670659,-166
670667,-113
670674,-81
670682,-48
670690,-21
670698,-29
670706,-41
670713,-36
670721,2
670729,63
670737,96
670745,96
670753,85
670760,87
670768,106
670776,129
670784,137
670792,117
670799,76
670807,38
670815,-9
670823,-99
670831,-232
670838,-352
670846,-404
670854,-380
670862,-338
670870,-315
670878,-297
670885,-237
670893,-159
670901,-96
670909,-75
670917,-74
670924,-65
670932,-41
670940,-51
670948,-77
670956,-82
670963,-46
670971,-13
670979,-8
670987,-21
670995,-32
671003,-46
671010,-64
671018,-81
671026,-72
671034,-54
671042,-56
671049,-81
671057,-101
671065,-92
671073,-60
671081,-41
671088,-39
671096,-55
671104,-67
671112,-71
671120,-57
671128,-20
671135,8
671143,1
671151,-35
671159,-54
671167,-42
671174,-46
671182,-77
671190,-105
671198,-99
671206,-71
671213,-8
671221,52
671229,-53
671237,-405
671245,-339
671253,905
671260,2530
671268,2689
671276,840
671284,-1367
671292,-2103
671299,-1420
671307,-665
671315,-485
671323,-465
671331,-329
671338,-240
671346,-184
671354,-92
671362,-10
671370,10
671378,-15
671385,-36
671393,-14
671401,1
671409,-7
671417,-3
671424,40
671432,108
671440,145
671448,136
671456,119
671463,114
671471,120
671479,120
671487,100
671495,35
671503,-85
671510,-232
671518,-352
671526,-412
671534,-402
671542,-362
671549,-329
671557,-287
671565,-217
671573,-141
671581,-96
671588,-83
671596,-72
671604,-58
671612,-50
671620,-63
671628,-67
671635,-49
671643,-37
671651,-30
671659,-10
671667,-11
671674,-46
671682,-68
671690,-51
671698,-26
671706,-25
671713,-60
671721,-79
671729,-66
671737,-64
671745,-86
671753,-98
671760,-86
671768,-67
671776,-63
671784,-51
671792,-9
671799,27
671807,38
671815,4
671823,-53
671831,-106
671838,-124
671846,-84
671854,-30
671862,-23
671870,-27
671878,-3
671885,3
671893,-236
671901,-507
671909,167
671917,1890
671924,3008
671932,2010
671940,-412
671948,-2073
671956,-1944
671963,-1003
671971,-511
671979,-493
671987,-412
671995,-276
672003,-211
672010,-147
672018,-96
672026,-70
672034,-59
672042,-47
672049,-21
672057,1
672065,10
672073,21
672081,41
672088,71
672096,95
672104,91
672112,93
672120,120
672128,150
672135,139
672143,102
672151,50
672159,-23
672167,-141
672174,-279
672182,-372
672190,-386
672198,-368
672206,-332
672213,-273
672221,-206
672229,-162
672237,-136
672245,-105
672253,-83
672260,-81
672268,-83
672276,-68
672284,-36
672292,-18
672299,-28
672307,-49
672315,-59
672323,-43
672331,-20
672338,-6
672346,-24
672354,-53
672362,-63
672370,-72
672378,-85
672385,-79
672393,-66
672401,-64
672409,-77
672417,-90
672424,-80
672432,-47
672440,-14
672448,7
672456,16
672463,-6
672471,-51
672479,-81
672487,-84
672495,-73
672503,-55
672510,-48
672518,-47
672526,-24
672534,9
672542,-61
672549,-389
672557,-475
672565,632
672573,2466
672581,3073
672588,1427
672596,-1062
672604,-2236
672612,-1708
672620,-816
672628,-541
672635,-555
672643,-418
672651,-269
672659,-174
672667,-79
672674,-40
672682,-45
672690,-57
672698,-53
672706,-33
672713,-38
672721,-61
672729,-33
672737,47
672745,121
672753,144
672760,126
672768,118
672776,135
672784,136
672792,110
672799,70
672807,10
672815,-104
672823,-245
672831,-351
672838,-386
672846,-362
672854,-328
672862,-297
672870,-258
672878,-195
672885,-151
672893,-143
672901,-132
672909,-106
672917,-73
672924,-55
672932,-44
672940,-20
672948,-1
672956,-18
672963,-45
672971,-37
672979,-25
672987,-46
672995,-77
673003,-77
673010,-45
673018,-14
673026,-23
673034,-41
673042,-47
673049,-56
673057,-99
673065,-141
673073,-125
673081,-42
673088,45
673096,69
673104,28
673112,-20
673120,-41
673128,-52
673135,-72
673143,-80
673151,-74
673159,-69
673167,-46
673174,-5
673182,-20
673190,-272
673198,-457
673206,359
673213,2108
673221,3036
673229,1791
673237,-671
673245,-2154
673253,-1849
673260,-896
673268,-500
673276,-538
673284,-443
673292,-271
673299,-182
673307,-118
673315,-79
673323,-58
673331,-36
673338,-23
673346,-14
673354,-2
673362,14
673370,39
673378,67
673385,83
673393,93
673401,107
673409,126
673417,135
673424,122
673432,98
673440,83
673448,55
673456,-25
673463,-163
673471,-308
673479,-389
673487,-397
673495,-368
673503,-321
673510,-268
673518,-213
673526,-175
673534,-153
673542,-127
673549,-80
673557,-40
673565,-27
673573,-42
673581,-54
673588,-51
673596,-41
673604,-31
673612,-27
673620,-32
673628,-47
673635,-54
673643,-47
673651,-32
673659,-35
673667,-50
673674,-68
673682,-82
673690,-99
673698,-96
673706,-63
673713,-12
673721,21
673729,15
673737,-18
673745,-53
673753,-70
673760,-76
673768,-72
673776,-67
673784,-76
673792,-76
673799,-37
673807,2
673815,-124
673823,-438
673831,-191
673838,1228
673846,2754
673854,2559
673862,465
673870,-1651
673878,-2119
673885,-1301
673893,-585
673901,-483
673909,-477
673917,-328
673924,-215
673932,-147
673940,-99
673948,-79
673956,-59
673963,-28
673971,5
673979,27
673987,32
673995,26
674003,29
674010,49
674018,78
674026,109
674034,130
674042,142
674049,145
674057,139
674065,107
674073,50
674081,-40
674088,-161
674096,-283
674104,-365
674112,-389
674120,-374
674128,-339
674135,-291
674143,-233
674151,-183
674159,-154
674167,-132
674174,-102
674182,-73
674190,-62
674198,-61
674206,-59
674213,-40
674221,-21
674229,-16
674237,-30
674245,-50
674253,-60
674260,-58
674268,-50
674276,-46
674284,-57
674292,-77
674299,-97
674307,-85
674315,-50
674323,-13
674331,-6
674338,-25
674346,-49
674354,-61
674362,-74
674370,-77
674378,-69
674385,-69
674393,-71
674401,-33
674409,16
674417,-72
674424,-377
674432,-239
674440,1020
674448,2544
674456,2566
674463,678
674471,-1452
674479,-2092
674487,-1369
674495,-615
674503,-450
674510,-448
674518,-314
674526,-201
674534,-137
674542,-95
674549,-75
674557,-47
674565,-23
674573,-6
674581,12
674588,25
674596,36
674604,46
674612,71
674620,94
674628,111
674635,121
674643,129
674651,134
674659,123
674667,90
674674,28
674682,-69
674690,-190
674698,-307
674706,-380
674713,-393
674721,-366
674729,-320
674737,-271
674745,-224
674753,-186
674760,-152
674768,-124
674776,-100
674784,-81
674792,-62
674799,-42
674807,-27
674815,-30
674823,-37
674831,-35
674838,-23
674846,-17
674854,-24
674862,-43
674870,-56
674878,-70
674885,-83
674893,-81
674901,-59
674909,-29
674917,-17
674924,-23
674932,-42
674940,-56
674948,-73
674956,-88
674963,-86
674971,-74
674979,-74
674987,-55
674995,2
675003,7
675010,-231
675018,-472
675026,181
675034,1818
675042,2868
675049,1905
675057,-406
675065,-1995
675073,-1879
675081,-984
675088,-494
675096,-459
675104,-378
675112,-245
675120,-186
675128,-141
675135,-100
675143,-75
675151,-52
675159,-31
675167,-6
675174,8
675182,7
675190,11
675198,28
675206,61
675213,92
675221,115
675229,128
675237,129
675245,122
675253,113
675260,78
675268,4
675276,-109
675284,-229
675292,-319
675299,-358
675307,-347
675315,-316
675323,-278
675331,-238
675338,-191
675346,-148
675354,-121
675362,-108
675370,-90
675378,-76
675385,-64
675393,-53
675401,-48
675409,-39
675417,-34
675424,-34
675432,-39
675440,-45
675448,-53
675456,-58
675463,-72
675471,-84
675479,-98
675487,-80
675495,-41
675503,0
675510,6
675518,-25
675526,-58
675534,-76
675542,-87
675549,-80
675557,-72
675565,-73
675573,-73
675581,-40
675588,-5
675596,-133
675604,-463
675612,-232
675620,1229
675628,2854
675635,2721
675643,570
675651,-1666
675659,-2214
675667,-1387
675674,-634
675682,-512
675690,-502
675698,-352
675706,-242
675713,-172
675721,-111
675729,-78
675737,-59
675745,-46
675753,-29
675760,-14
675768,-1
675776,11
675784,22
675792,39
675799,62
675807,87
675815,118
675823,135
675831,142
675838,132
675846,103
675854,44
675862,-44
675870,-160
675878,-268
675885,-334
675893,-346
675901,-324
675909,-282
675917,-240
675924,-198
675932,-157
675940,-129
675948,-106
675956,-91
675963,-71
675971,-59
675979,-50
675987,-46
675995,-48
676003,-51
676010,-50
676018,-47
676026,-44
676034,-45
676042,-47
676049,-55
676057,-66
676065,-86
676073,-92
676081,-66
676088,-22
676096,12
676104,10
676112,-17
676120,-51
676128,-72
676135,-85
676143,-88
676151,-71
676159,-74
676167,-74
676174,-41
676182,-1
676190,-111
676198,-453
676206,-287
676213,1157
676221,2890
676229,2908
676237,783
676245,-1589
676253,-2289
676260,-1505
676268,-704
676276,-544
676284,-523
676292,-350
676299,-229
676307,-167
676315,-113
676323,-86
676331,-61
676338,-33
676346,-11
676354,0
676362,5
676370,11
676378,28
676385,50
676393,78
676401,106
676409,122
676417,132
676424,139
676432,139
676440,118
676448,56
676456,-43
676463,-166
676471,-275
676479,-349
676487,-369
676495,-344
676503,-294
676510,-242
676518,-203
676526,-164
676534,-126
676542,-94
676549,-70
676557,-59
676565,-59
676573,-62
676581,-63
676588,-53
676596,-39
676604,-31
676612,-35
676620,-41
676628,-44
676635,-45
676643,-51
676651,-59
676659,-62
676667,-59
676674,-61
676682,-77
676690,-85
676698,-63
676706,-13
676713,24
676721,24
676729,-3
676737,-44
676745,-71
676753,-87
676760,-81
676768,-61
676776,-65
676784,-61
676792,-24
676799,10
676807,-120
676815,-473
676823,-260
676831,1221
676838,2900
676846,2806
676854,637
676862,-1657
676870,-2241
676878,-1420
676885,-656
676893,-533
676901,-514
676909,-354
676917,-243
676924,-169
676932,-88
676940,-44
676948,-29
676956,-34
676963,-29
676971,-9
676979,13
676987,27
676995,49
677003,66
677010,81
677018,94
677026,111
677034,129
677042,141
677049,135
677057,107
677065,54
677073,-33
677081,-156
677088,-274
677096,-354
677104,-373
677112,-347
677120,-303
677128,-252
677135,-206
677143,-163
677151,-129
677159,-109
677167,-93
677174,-79
677182,-65
677190,-49
677198,-38
677206,-34
677213,-31
677221,-32
677229,-47
677237,-60
677245,-56
677253,-39
677260,-32
677268,-44
677276,-60
677284,-64
677292,-59
677299,-64
677307,-74
677315,-84
677323,-88
677331,-88
677338,-83
677346,-45
677354,6
677362,16
677370,-9
677378,-43
677385,-67
677393,-76
677401,-71
677409,-51
677417,-42
677424,-62
677432,-66
677440,-16
677448,23
677456,-172
677463,-517
677471,-97
677479,1530
677487,2981
677495,2461
677503,134
677510,-1881
677518,-2105
677526,-1204
677534,-592
677542,-544
677549,-473
677557,-275
677565,-178
677573,-141
677581,-105
677588,-73
677596,-59
677604,-61
677612,-38
677620,12
677628,41
677635,42
677643,38
677651,57
677659,80
677667,96
677674,104
677682,115
677690,108
677698,102
677706,99
677713,57
677721,-53
677729,-191
677737,-283
677745,-313
677753,-325
677760,-332
677768,-308
677776,-260
677784,-229
677792,-206
677799,-149
677807,-79
677815,-51
677823,-68
677831,-81
677838,-58
677846,-29
677854,-29
677862,-46
677870,-49
677878,-44
677885,-40
677893,-39
677901,-43
677909,-45
677917,-57
677924,-70
677932,-80
677940,-70
677948,-42
677956,-27
677963,-48
677971,-72
677979,-76
677987,-69
677995,-79
678003,-98
678010,-90
678018,-35
678026,31
678034,60
678042,24
678049,-38
678057,-83
678065,-91
678073,-82
678081,-77
678088,-93
678096,-88
678104,-36
678112,26
678120,-72
678128,-413
678135,-329
678143,956
678151,2621
678159,2780
678167,881
678174,-1390
678182,-2152
