Timestamp,HR: (Beats per minute), RR: (ms)
211495,163.49,367
211802,197.37,304
212643,80.86,742
213325,80.86,742
214073,85.35,703
214667,91.46,656
215332,94.94,632
215923,96.00,625
216593,90.36,664
217346,80.00,750
218260,66.82,898
219181,65.65,914
220024,69.20,867
220858,73.20,820
221607,73.20,718
222274,73.20,695
222939,73.20,703
223605,75.20,632
224276,77.50,664
224878,80.10,640
225562,82.90,671
226252,84.60,679
226943,85.70,679
227632,87.10,664
228315,87.20,687
229065,85.50,734
229808,85.70,796
230694,85.90,867
231510,86.00,882
232336,86.10,789
233019,86.20,695
233708,88.10,648
234322,89.80,640
235012,91.70,625
235621,91.70,585
236149,92.60,593
236747,95.20,593
237341,96.60,562
237858,99.20,570
238450,101.00,570
239268,101.50,820
240323,101.80,1078
241240,102.00,937
242085,102.20,796
242849,102.30,781
243607,102.40,734
244355,102.50,781
245170,102.50,750
245835,102.50,695
246502,102.50,695
247251,102.50,757
248237,102.50,968
249156,102.50,890
250000,102.50,851
250838,102.50,812
251590,102.50,750
252334,102.50,757
253074,102.50,734
253813,102.50,781
254558,102.50,757
255236,102.50,703
255921,101.50,656
256611,99.70,695
257455,98.40,781
258370,97.50,914
259273,96.90,875
260090,96.40,843
260903,96.10,867
261792,95.90,906
262693,95.70,906
263606,95.60,882
264450,95.50,835
265294,95.50,828
266054,95.50,726
266731,95.50,703
267401,95.50,703
268141,94.60,703
268880,93.90,796
269699,91.60,835
270529,88.90,804
271368,85.00,789
272213,82.80,851
273055,80.10,812
273814,79.10,781
274563,79.60,742
275305,80.20,734
