Timestamp,Count
686333,0
686341,0
686349,-1
686356,-2
686364,-2
686372,-4
686380,-7
686388,-6
686396,-10
686403,-14
686411,-9
686419,-24
686427,-11
686435,-10
686442,-76
686450,-7
686458,105
686466,-63
686474,-386
686481,-410
686489,54
686497,592
686505,724
686513,479
686521,273
686528,273
686536,218
686544,122
686552,81
686560,31
686567,-15
686575,-72
686583,-95
686591,-14
686599,-80
686606,-580
686614,-990
686622,-279
686630,1460
686638,2650
686646,2027
686653,184
686661,-1231
686669,-1494
686677,-1182
686685,-927
686692,-760
686700,-587
686708,-458
686716,-368
686724,-291
686731,-237
686739,-201
686747,-185
686755,-174
686763,-167
686771,-163
686778,-164
686786,-168
686794,-168
686802,-166
686810,-164
686817,-156
686825,-141
686833,-116
686841,-80
686849,-39
686856,-1
686864,45
686872,90
686880,120
686888,128
686896,104
686903,68
686911,37
686919,9
686927,-15
686935,-37
686942,-53
686950,-61
686958,-70
686966,-75
686974,-79
686981,-74
686989,-75
686997,-80
687005,-91
687013,-90
687021,-83
687028,-74
687036,-69
687044,-64
687052,-63
687060,-61
687067,-58
687075,-51
687083,-49
687091,-53
687099,-65
687106,-70
687114,-67
687122,-56
687130,-54
687138,-62
687146,-77
687153,-86
687161,-82
687169,-70
687177,-59
687185,-60
687192,-73
687200,-80
687208,-81
687216,-74
687224,-71
687231,-73
687239,-73
687247,-66
687255,-63
687263,-63
687271,-64
687278,-70
687286,-72
687294,-79
687302,-84
687310,-86
687317,-80
687325,-75
687333,-69
687341,-70
687349,-69
687356,-65
687364,-54
687372,-50
687380,-57
687388,-61
687396,-59
687403,-58
687411,-62
687419,-70
687427,-99
687435,-76
687442,9
687450,-153
687458,-706
687466,-895
687474,127
687481,1830
687489,2570
687497,1548
687505,-226
687513,-1257
687521,-1269
687528,-962
687536,-778
687544,-630
687552,-474
687560,-360
687567,-277
687575,-215
687583,-175
687591,-148
687599,-135
687606,-126
687614,-125
687622,-123
687630,-119
687638,-119
687646,-123
687653,-128
687661,-130
687669,-120
687677,-100
687685,-69
687692,-28
687700,13
687708,47
687716,79
687724,111
687731,146
687739,152
687747,127
687755,78
687763,44
687771,23
687778,9
687786,-13
687794,-35
687802,-48
687810,-52
687817,-55
687825,-57
687833,-61
687841,-62
687849,-53
687856,-44
687864,-41
687872,-43
687880,-45
687888,-42
687896,-39
687903,-37
687911,-32
687919,-29
687927,-32
687935,-41
687942,-48
687950,-52
687958,-55
687966,-52
687974,-49
687981,-47
687989,-47
687997,-54
688005,-61
688013,-63
688021,-57
688028,-51
688036,-51
688044,-59
688052,-66
688060,-61
688067,-53
688075,-51
688083,-52
688091,-53
688099,-57
688106,-62
688114,-63
688122,-67
688130,-71
688138,-71
688146,-68
688153,-64
688161,-60
688169,-50
688177,-44
688185,-44
688192,-47
688200,-49
688208,-51
688216,-52
688224,-64
688231,-90
688239,-55
688247,10
688255,-228
688263,-786
688271,-802
688278,414
688286,2058
688294,2502
688302,1261
688310,-444
688317,-1264
688325,-1171
688333,-908
688341,-766
688349,-620
688356,-460
688364,-346
688372,-263
688380,-214
688388,-183
688396,-158
688403,-139
688411,-126
688419,-117
688427,-121
688435,-125
688442,-130
688450,-129
688458,-128
688466,-127
688474,-113
688481,-90
688489,-55
688497,-10
688505,35
688513,76
688521,105
688528,131
688536,147
688544,138
688552,101
688560,55
688567,13
688575,-11
688583,-27
688591,-41
688599,-49
688606,-53
688614,-63
688622,-67
688630,-69
688638,-68
688646,-60
688653,-52
688661,-46
688669,-45
688677,-44
688685,-37
688692,-26
688700,-20
688708,-21
688716,-28
688724,-28
688731,-32
688739,-37
688747,-43
688755,-46
688763,-46
688771,-45
688778,-49
688786,-55
688794,-52
688802,-51
688810,-48
688817,-53
688825,-61
688833,-68
688841,-68
688849,-62
688856,-58
688864,-63
688872,-71
688880,-76
688888,-72
688896,-65
688903,-58
688911,-55
688919,-53
688927,-51
688935,-53
688942,-57
688950,-64
688958,-73
688966,-73
688974,-70
688981,-63
688989,-56
688997,-45
689005,-38
689013,-40
689021,-49
689028,-56
689036,-59
689044,-60
689052,-58
689060,-81
689067,-95
689075,-16
689083,-15
689091,-447
689099,-958
689106,-480
689114,1204
689122,2676
689130,2406
689138,624
689146,-1012
689153,-1477
689161,-1204
689169,-929
689177,-762
689185,-581
689192,-426
689200,-329
689208,-256
689216,-205
689224,-162
689231,-134
689239,-120
689247,-113
689255,-111
689263,-125
689271,-142
689278,-145
689286,-137
689294,-132
689302,-126
689310,-116
689317,-92
689325,-56
689333,-7
689341,45
689349,89
689356,119
689364,149
689372,171
689380,172
689388,143
689396,100
689403,60
689411,22
689419,-1
689427,-12
689435,-26
689442,-43
689450,-67
689458,-70
689466,-65
689474,-63
689481,-63
689489,-65
689497,-64
689505,-57
689513,-52
689521,-43
689528,-42
689536,-46
689544,-49
689552,-45
689560,-42
689567,-44
689575,-45
689583,-41
689591,-37
689599,-36
689606,-38
689614,-42
689622,-45
689630,-46
689638,-47
689646,-48
689653,-51
689661,-50
689669,-52
689677,-47
689685,-45
689692,-48
689700,-53
689708,-56
689716,-52
689724,-50
689731,-50
689739,-47
689747,-42
689755,-39
689763,-52
689771,-71
689778,-81
689786,-80
689794,-76
689802,-69
689810,-63
689817,-57
689825,-49
689833,-35
689841,-34
689849,-38
689856,-46
689864,-49
689872,-50
689880,-46
689888,-69
689896,-90
689903,-13
689911,24
689919,-374
689927,-964
689935,-633
689942,1061
689950,2773
689958,2730
689966,907
689974,-980
689981,-1634
689989,-1356
689997,-1004
690005,-812
690013,-637
690021,-478
690028,-367
690036,-280
690044,-212
690052,-166
690060,-142
690067,-131
690075,-124
690083,-117
690091,-113
690099,-121
690106,-129
690114,-130
690122,-128
690130,-134
690138,-136
690146,-120
690153,-75
690161,-23
690169,24
690177,60
690185,106
690192,150
690200,187
690208,184
690216,149
690224,97
690231,57
690239,29
690247,11
690255,-7
690263,-19
690271,-30
690278,-41
690286,-54
690294,-65
690302,-69
690310,-64
690317,-59
690325,-53
690333,-50
690341,-47
690349,-46
690356,-45
690364,-48
690372,-50
690380,-48
690388,-41
690396,-31
690403,-23
690411,-31
