Timestamp,Count
8562735,0
8562743,0
8562751,-1
8562758,-2
8562766,-3
8562774,-5
8562782,-7
8562790,-9
8562798,-11
8562805,-14
8562813,-14
8562821,-17
8562829,-20
8562837,-14
8562844,-27
8562852,-40
8562860,-12
8562868,4
8562876,-82
8562883,-231
8562891,-328
8562899,-346
8562907,-363
8562915,-428
8562923,-463
8562930,-359
8562938,-182
8562946,-96
8562954,-101
8562962,-96
8562969,-36
8562977,28
8562985,25
8562993,-38
8563001,-62
8563008,-8
8563016,58
8563024,56
8563032,8
8563040,-23
8563048,-36
8563055,-39
8563063,-23
8563071,-2
8563079,-3
8563087,-45
8563094,-94
8563102,-112
8563110,-78
8563118,-54
8563126,-60
8563133,-25
8563141,22
8563149,4
8563157,-35
8563165,-37
8563173,-19
8563180,-39
8563188,-109
8563196,-145
8563204,-73
8563212,-1
8563219,-14
8563227,-28
8563235,14
8563243,54
8563251,44
8563258,-16
8563266,-71
8563274,-78
8563282,-48
8563290,-16
8563298,-25
8563305,-63
8563313,-77
8563321,-21
8563329,41
8563337,-9
8563344,-177
8563352,-459
8563360,-479
8563368,563
8563376,2375
8563383,3170
8563391,1732
8563399,-845
8563407,-2354
8563415,-2024
8563423,-1009
8563430,-508
8563438,-455
8563446,-342
8563454,-227
8563462,-181
8563469,-125
8563477,-87
8563485,-70
8563493,-46
8563501,-19
8563508,-3
8563516,12
8563524,30
8563532,50
8563540,63
8563548,78
8563555,106
8563563,137
8563571,167
8563579,186
8563587,196
8563594,194
8563602,182
8563610,144
8563618,54
8563626,-84
8563633,-236
8563641,-369
8563649,-454
8563657,-476
8563665,-447
8563673,-399
8563680,-351
8563688,-297
8563696,-242
8563704,-195
8563712,-161
8563719,-134
8563727,-108
8563735,-80
8563743,-51
8563751,-18
8563758,2
8563766,2
8563774,-11
8563782,-25
8563790,-32
8563798,-33
8563805,-33
8563813,-36
8563821,-46
8563829,-61
8563837,-65
8563844,-69
8563852,-71
8563860,-66
8563868,-60
8563876,-68
8563883,-86
8563891,-86
8563899,-68
8563907,-55
8563915,-59
8563923,-68
8563930,-62
8563938,-42
8563946,-40
8563954,-53
8563962,-57
8563969,-61
8563977,-64
8563985,-69
8563993,-65
8564001,-46
8564008,-20
8564016,3
8564024,23
8564032,41
8564040,29
8564048,-18
8564055,-69
8564063,-95
8564071,-80
8564079,-53
8564087,-64
8564094,-78
8564102,-36
8564110,17
8564118,-63
8564126,-382
8564133,-314
8564141,989
8564149,2777
8564157,3026
8564165,1016
8564173,-1521
8564180,-2440
8564188,-1667
8564196,-703
8564204,-476
8564212,-517
8564219,-379
8564227,-248
